Id,Calories,StepTotal,Date,Hour
User1,81,373,2016-04-12,0
User1,61,160,2016-04-12,1
User1,59,151,2016-04-12,2
User1,47,0,2016-04-12,3
User1,48,0,2016-04-12,4
User1,48,0,2016-04-12,5
User1,48,0,2016-04-12,6
User1,47,0,2016-04-12,7
User1,68,250,2016-04-12,8
User1,141,1864,2016-04-12,9
User1,99,676,2016-04-12,10
User1,76,360,2016-04-12,11
User1,73,253,2016-04-12,12
User1,66,221,2016-04-12,13
User1,110,1166,2016-04-12,14
User1,151,2063,2016-04-12,15
User1,76,344,2016-04-12,16
User1,83,489,2016-04-12,17
User1,124,1386,2016-04-12,18
User1,104,558,2016-04-12,19
User1,132,1733,2016-04-12,20
User1,100,684,2016-04-12,21
User1,65,89,2016-04-12,22
User1,81,338,2016-04-12,23
User1,69,144,2016-04-13,0
User1,48,0,2016-04-13,1
User1,47,0,2016-04-13,2
User1,53,36,2016-04-13,3
User1,47,0,2016-04-13,4
User1,47,0,2016-04-13,5
User1,48,0,2016-04-13,6
User1,59,126,2016-04-13,7
User1,69,275,2016-04-13,8
User1,136,1679,2016-04-13,9
User1,77,295,2016-04-13,10
User1,84,524,2016-04-13,11
User1,82,486,2016-04-13,12
User1,72,302,2016-04-13,13
User1,128,1577,2016-04-13,14
User1,79,493,2016-04-13,15
User1,71,299,2016-04-13,16
User1,87,695,2016-04-13,17
User1,118,1343,2016-04-13,18
User1,73,258,2016-04-13,19
User1,47,0,2016-04-13,20
User1,48,0,2016-04-13,21
User1,74,437,2016-04-13,22
User1,135,1766,2016-04-13,23
User1,56,81,2016-04-14,0
User1,54,58,2016-04-14,1
User1,47,0,2016-04-14,2
User1,47,0,2016-04-14,3
User1,47,0,2016-04-14,4
User1,47,0,2016-04-14,5
User1,47,0,2016-04-14,6
User1,47,0,2016-04-14,7
User1,47,0,2016-04-14,8
User1,93,902,2016-04-14,9
User1,109,1106,2016-04-14,10
User1,64,50,2016-04-14,11
User1,85,501,2016-04-14,12
User1,137,1779,2016-04-14,13
User1,113,1228,2016-04-14,14
User1,66,139,2016-04-14,15
User1,88,408,2016-04-14,16
User1,61,37,2016-04-14,17
User1,72,322,2016-04-14,18
User1,55,11,2016-04-14,19
User1,91,806,2016-04-14,20
User1,174,2670,2016-04-14,21
User1,79,362,2016-04-14,22
User1,50,0,2016-04-14,23
User1,60,83,2016-04-15,0
User1,58,75,2016-04-15,1
User1,59,124,2016-04-15,2
User1,47,0,2016-04-15,3
User1,47,0,2016-04-15,4
User1,49,26,2016-04-15,5
User1,47,0,2016-04-15,6
User1,49,7,2016-04-15,7
User1,54,55,2016-04-15,8
User1,50,21,2016-04-15,9
User1,63,154,2016-04-15,10
User1,84,425,2016-04-15,11
User1,74,270,2016-04-15,12
User1,67,373,2016-04-15,13
User1,47,0,2016-04-15,14
User1,47,0,2016-04-15,15
User1,47,0,2016-04-15,16
User1,140,1774,2016-04-15,17
User1,87,509,2016-04-15,18
User1,97,519,2016-04-15,19
User1,64,77,2016-04-15,20
User1,75,280,2016-04-15,21
User1,151,2145,2016-04-15,22
User1,182,2768,2016-04-15,23
User1,77,459,2016-04-16,0
User1,48,0,2016-04-16,1
User1,52,63,2016-04-16,2
User1,48,6,2016-04-16,3
User1,49,6,2016-04-16,4
User1,49,12,2016-04-16,5
User1,48,0,2016-04-16,6
User1,54,101,2016-04-16,7
User1,62,175,2016-04-16,8
User1,124,1181,2016-04-16,9
User1,110,1295,2016-04-16,10
User1,147,2043,2016-04-16,11
User1,119,1513,2016-04-16,12
User1,214,3616,2016-04-16,13
User1,82,580,2016-04-16,14
User1,51,0,2016-04-16,15
User1,54,15,2016-04-16,16
User1,79,380,2016-04-16,17
User1,65,96,2016-04-16,18
User1,67,146,2016-04-16,19
User1,81,385,2016-04-16,20
User1,75,463,2016-04-16,21
User1,55,42,2016-04-16,22
User1,56,92,2016-04-16,23
User1,47,0,2016-04-17,0
User1,48,0,2016-04-17,1
User1,47,0,2016-04-17,2
User1,49,8,2016-04-17,3
User1,48,0,2016-04-17,4
User1,48,0,2016-04-17,5
User1,48,0,2016-04-17,6
User1,48,0,2016-04-17,7
User1,48,0,2016-04-17,8
User1,48,0,2016-04-17,9
User1,47,0,2016-04-17,10
User1,63,84,2016-04-17,11
User1,76,260,2016-04-17,12
User1,83,402,2016-04-17,13
User1,69,252,2016-04-17,14
User1,73,191,2016-04-17,15
User1,57,13,2016-04-17,16
User1,174,2613,2016-04-17,17
User1,136,1616,2016-04-17,18
User1,95,754,2016-04-17,19
User1,191,2955,2016-04-17,20
User1,79,487,2016-04-17,21
User1,58,70,2016-04-17,22
User1,50,0,2016-04-17,23
User1,82,416,2016-04-18,0
User1,48,0,2016-04-18,1
User1,47,0,2016-04-18,2
User1,47,0,2016-04-18,3
User1,47,0,2016-04-18,4
User1,47,0,2016-04-18,5
User1,47,0,2016-04-18,6
User1,47,0,2016-04-18,7
User1,47,0,2016-04-18,8
User1,133,1688,2016-04-18,9
User1,81,380,2016-04-18,10
User1,73,328,2016-04-18,11
User1,118,1306,2016-04-18,12
User1,70,268,2016-04-18,13
User1,64,137,2016-04-18,14
User1,80,495,2016-04-18,15
User1,78,277,2016-04-18,16
User1,79,304,2016-04-18,17
User1,234,4074,2016-04-18,18
User1,157,2101,2016-04-18,19
User1,57,28,2016-04-18,20
User1,68,187,2016-04-18,21
User1,86,542,2016-04-18,22
User1,83,488,2016-04-18,23
User1,47,0,2016-04-19,0
User1,49,22,2016-04-19,1
User1,47,0,2016-04-19,2
User1,50,9,2016-04-19,3
User1,47,0,2016-04-19,4
User1,47,0,2016-04-19,5
User1,49,7,2016-04-19,6
User1,75,316,2016-04-19,7
User1,130,1656,2016-04-19,8
User1,79,367,2016-04-19,9
User1,75,203,2016-04-19,10
User1,72,194,2016-04-19,11
User1,143,1887,2016-04-19,12
User1,171,2697,2016-04-19,13
User1,76,409,2016-04-19,14
User1,72,299,2016-04-19,15
User1,71,297,2016-04-19,16
User1,90,732,2016-04-19,17
User1,120,1280,2016-04-19,18
User1,93,397,2016-04-19,19
User1,159,2487,2016-04-19,20
User1,94,826,2016-04-19,21
User1,58,52,2016-04-19,22
User1,120,1369,2016-04-19,23
User1,54,16,2016-04-20,0
User1,53,36,2016-04-20,1
User1,47,0,2016-04-20,2
User1,48,0,2016-04-20,3
User1,48,0,2016-04-20,4
User1,47,0,2016-04-20,5
User1,48,0,2016-04-20,6
User1,51,29,2016-04-20,7
User1,70,264,2016-04-20,8
User1,144,1993,2016-04-20,9
User1,79,459,2016-04-20,10
User1,58,65,2016-04-20,11
User1,64,185,2016-04-20,12
User1,61,64,2016-04-20,13
User1,113,1270,2016-04-20,14
User1,97,797,2016-04-20,15
User1,70,261,2016-04-20,16
User1,57,13,2016-04-20,17
User1,114,1308,2016-04-20,18
User1,117,1558,2016-04-20,19
User1,80,499,2016-04-20,20
User1,83,395,2016-04-20,21
User1,62,77,2016-04-20,22
User1,120,1255,2016-04-20,23
User1,54,17,2016-04-21,0
User1,61,129,2016-04-21,1
User1,55,81,2016-04-21,2
User1,48,0,2016-04-21,3
User1,47,0,2016-04-21,4
User1,47,0,2016-04-21,5
User1,48,0,2016-04-21,6
User1,52,38,2016-04-21,7
User1,71,245,2016-04-21,8
User1,133,1672,2016-04-21,9
User1,77,255,2016-04-21,10
User1,55,0,2016-04-21,11
User1,73,384,2016-04-21,12
User1,113,1140,2016-04-21,13
User1,58,12,2016-04-21,14
User1,68,213,2016-04-21,15
User1,60,26,2016-04-21,16
User1,60,96,2016-04-21,17
User1,69,213,2016-04-21,18
User1,64,100,2016-04-21,19
User1,213,3541,2016-04-21,20
User1,104,970,2016-04-21,21
User1,63,89,2016-04-21,22
User1,84,598,2016-04-21,23
User1,47,0,2016-04-22,0
User1,47,0,2016-04-22,1
User1,47,0,2016-04-22,2
User1,47,0,2016-04-22,3
User1,47,0,2016-04-22,4
User1,47,0,2016-04-22,5
User1,47,0,2016-04-22,6
User1,47,0,2016-04-22,7
User1,47,0,2016-04-22,8
User1,65,192,2016-04-22,9
User1,54,29,2016-04-22,10
User1,102,958,2016-04-22,11
User1,57,38,2016-04-22,12
User1,60,118,2016-04-22,13
User1,54,0,2016-04-22,14
User1,66,180,2016-04-22,15
User1,58,22,2016-04-22,16
User1,104,1041,2016-04-22,17
User1,87,514,2016-04-22,18
User1,82,629,2016-04-22,19
User1,71,329,2016-04-22,20
User1,311,5934,2016-04-22,21
User1,95,855,2016-04-22,22
User1,136,1925,2016-04-22,23
User1,63,182,2016-04-23,0
User1,47,0,2016-04-23,1
User1,49,11,2016-04-23,2
User1,47,0,2016-04-23,3
User1,47,0,2016-04-23,4
User1,48,0,2016-04-23,5
User1,50,12,2016-04-23,6
User1,48,0,2016-04-23,7
User1,59,127,2016-04-23,8
User1,75,285,2016-04-23,9
User1,56,49,2016-04-23,10
User1,84,703,2016-04-23,11
User1,129,1597,2016-04-23,12
User1,129,1453,2016-04-23,13
User1,78,202,2016-04-23,14
User1,73,158,2016-04-23,15
User1,140,2008,2016-04-23,16
User1,121,1472,2016-04-23,17
User1,173,2569,2016-04-23,18
User1,51,29,2016-04-23,19
User1,63,142,2016-04-23,20
User1,162,2432,2016-04-23,21
User1,96,709,2016-04-23,22
User1,60,231,2016-04-23,23
User1,66,141,2016-04-24,0
User1,54,42,2016-04-24,1
User1,48,0,2016-04-24,2
User1,48,0,2016-04-24,3
User1,49,8,2016-04-24,4
User1,48,0,2016-04-24,5
User1,49,7,2016-04-24,6
User1,47,0,2016-04-24,7
User1,49,8,2016-04-24,8
User1,59,76,2016-04-24,9
User1,90,492,2016-04-24,10
User1,67,149,2016-04-24,11
User1,82,548,2016-04-24,12
User1,74,394,2016-04-24,13
User1,52,26,2016-04-24,14
User1,52,27,2016-04-24,15
User1,102,885,2016-04-24,16
User1,86,411,2016-04-24,17
User1,115,911,2016-04-24,18
User1,270,4871,2016-04-24,19
User1,76,342,2016-04-24,20
User1,74,244,2016-04-24,21
User1,61,66,2016-04-24,22
User1,72,391,2016-04-24,23
User1,62,95,2016-04-25,0
User1,53,22,2016-04-25,1
User1,57,97,2016-04-25,2
User1,47,0,2016-04-25,3
User1,50,25,2016-04-25,4
User1,49,4,2016-04-25,5
User1,47,0,2016-04-25,6
User1,52,44,2016-04-25,7
User1,83,426,2016-04-25,8
User1,146,2041,2016-04-25,9
User1,73,258,2016-04-25,10
User1,121,1468,2016-04-25,11
User1,92,707,2016-04-25,12
User1,75,299,2016-04-25,13
User1,62,94,2016-04-25,14
User1,76,359,2016-04-25,15
User1,71,263,2016-04-25,16
User1,67,188,2016-04-25,17
User1,61,116,2016-04-25,18
User1,182,2815,2016-04-25,19
User1,95,895,2016-04-25,20
User1,267,4895,2016-04-25,21
User1,68,188,2016-04-25,22
User1,54,56,2016-04-25,23
User1,56,101,2016-04-26,0
User1,66,178,2016-04-26,1
User1,51,0,2016-04-26,2
User1,64,145,2016-04-26,3
User1,48,0,2016-04-26,4
User1,49,7,2016-04-26,5
User1,48,0,2016-04-26,6
User1,52,28,2016-04-26,7
User1,67,173,2016-04-26,8
User1,139,1826,2016-04-26,9
User1,92,666,2016-04-26,10
User1,78,266,2016-04-26,11
User1,74,415,2016-04-26,12
User1,126,1571,2016-04-26,13
User1,142,1998,2016-04-26,14
User1,74,323,2016-04-26,15
User1,93,697,2016-04-26,16
User1,60,143,2016-04-26,17
User1,169,2513,2016-04-26,18
User1,73,148,2016-04-26,19
User1,127,1649,2016-04-26,20
